FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location_type,neighborho,posted_dat,reason,submission_sets.support.length,submission_sets.support.url,submitter,updated_datetime,url,user_avata,user_name,visible
3005,7,2014-08-04T15:49:45.695728+00:00,568,POINT (-73.8096699999999970 40.7053909999999988),0,237018,previous-suggestion,Briarwood,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.699488+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237018,,Ryan,True
3003,1,2014-08-04T15:49:45.678942+00:00,568,POINT (-73.8862309999999951 40.6432459999999978),0,237017,previous-suggestion,Spring Creek,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.681404+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237017,,Ryan,True
3002,3,2014-08-04T15:49:45.606772+00:00,568,POINT (-73.8903509999999955 40.6722210000000004),0,237016,previous-suggestion,East New York,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.610398+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237016,,Ryan,True
3001,1,2014-08-04T15:49:45.605715+00:00,568,POINT (-73.8627129999999994 40.6691599999999980),0,237015,previous-suggestion,East New York,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.608224+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237015,,Ryan,True
3000,3,2014-08-04T15:49:45.508582+00:00,568,POINT (-73.8376509999999939 40.6812019999999990),0,237014,previous-suggestion,Richmond Hill,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237014/support,,2014-08-04T15:49:45.511251+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237014,,Ryan,True
2999,2,2014-08-04T15:49:45.505005+00:00,568,POINT (-73.8322430000000054 40.6839990000000000),0,237013,previous-suggestion,Richmond Hill,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.507988+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237013,,Ryan,True
2998,2,2014-08-04T15:49:45.383804+00:00,568,POINT (-73.8438299999999970 40.6946080000000023),0,237012,previous-suggestion,Richmond Hill,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.397321+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237012,,Ryan,True
2997,4,2014-08-04T15:49:45.310713+00:00,568,POINT (-73.8371360000000010 40.6963650000000001),0,237011,previous-suggestion,Richmond Hill,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.319713+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237011,,Ryan,True
2994,1,2014-08-04T15:49:45.271339+00:00,568,POINT (-73.7337950000000006 40.6729320000000030),0,237010,previous-suggestion,Laurelton,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.276282+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237010,,Ryan,True
2995,2,2014-08-04T15:49:45.236340+00:00,568,POINT (-73.7817749999999961 40.6762530000000027),0,237009,previous-suggestion,Rochdale,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.238923+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237009,,Ryan,True
2996,3,2014-08-04T15:49:45.204259+00:00,568,POINT (-73.8282090000000011 40.7002039999999994),0,237008,previous-suggestion,Richmond Hill,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.206627+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237008,,Ryan,True
2992,3,2014-08-04T15:49:45.003335+00:00,568,POINT (-73.7478720000000010 40.7545789999999997),0,237006,previous-suggestion,Douglaston,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.016023+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237006,,Ryan,True
2993,2,2014-08-04T15:49:45.012407+00:00,568,POINT (-73.7335379999999958 40.6854939999999985),0,237007,previous-suggestion,Laurelton,9/17/2011 0:00:00,,,,,2014-08-04T15:49:45.015621+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237007,,Ryan,True
2991,4,2014-08-04T15:49:44.938966+00:00,568,POINT (-73.9240819999999985 40.7746020000000016),0,237005,previous-suggestion,Long Island City,10/18/2011 0:00:00,It is close to home and close to the park. An ideal place to start or end a bike ride,,,,2014-08-04T15:49:44.941546+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237005,,Mallory,True
2990,2,2014-08-04T15:49:44.862058+00:00,568,POINT (-73.8093259999999987 40.6642730000000014),0,237004,previous-suggestion,John F Kennedy Int'l Airport,9/17/2011 0:00:00,,,,,2014-08-04T15:49:44.864474+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237004,,Ryan,True
2989,6,2014-08-04T15:49:44.742481+00:00,568,POINT (-73.9547670000000039 40.7329409999999967),0,237003,previous-suggestion,Greenpoint,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237003/support,,2014-08-04T15:49:44.745649+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237003,,,True
2988,2,2014-08-04T15:49:44.718913+00:00,568,POINT (-73.9739280000000008 40.6449169999999995),0,237002,previous-suggestion,Prospect Park South,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237002/support,,2014-08-04T15:49:44.721802+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237002,,David,True
2987,12,2014-08-04T15:49:44.678681+00:00,568,POINT (-73.9578560000000067 40.6701479999999975),0,237000,previous-suggestion,Crown Heights,9/17/2011 0:00:00,This is a busy transportation hub.,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237000/support,,2014-08-04T15:49:44.681845+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237000,,Stacey,True
2985,7,2014-08-04T15:49:44.632836+00:00,568,POINT (-73.9181970000000064 40.7446630000000027),0,237001,previous-suggestion,Sunnyside,9/17/2011 0:00:00,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237001/support,,2014-08-04T15:49:44.668590+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237001,,mn,True
2984,5,2014-08-04T15:49:44.585859+00:00,568,POINT (-73.9551309999999944 40.7388750000000002),0,236999,previous-suggestion,Greenpoint,9/17/2011 0:00:00,This is close to work!,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236999/support,,2014-08-04T15:49:44.588242+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236999,,Dave,True
2986,0,2014-08-04T15:49:44.561188+00:00,568,POINT (-73.9743249999999932 40.6815410000000028),0,236998,previous-suggestion,Prospect Heights,,This is the proposed location of the 400 space Barclays Center bicycle garage. Dean Street's bicycle lane passes right by. The location is near transit,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236998/support,,2014-08-04T15:49:44.563822+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236998,,,True
2983,3,2014-08-04T15:49:44.475933+00:00,568,POINT (-73.9917259999999999 40.6873859999999965),0,236997,previous-suggestion,Boerum Hill,9/17/2011 0:00:00,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236997/support,,2014-08-04T15:49:44.478216+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236997,,,True
2982,12,2014-08-04T15:49:44.400126+00:00,568,POINT (-73.9616330000000062 40.7315919999999991),0,236996,previous-suggestion,Greenpoint,9/17/2011 0:00:00,For those taking the East River Ferry!,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236996/support,,2014-08-04T15:49:44.402806+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236996,,Sarah,True
2981,0,2014-08-04T15:49:44.398502+00:00,568,POINT (-73.9431790000000007 40.7248590000000021),0,236995,previous-suggestion,Greenpoint,,This part of Greenpoint is difficult to reach by public transportation. The G - already a limited line - is a full 10-15 minute walk,,,,2014-08-04T15:49:44.400847+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236995,,Sarah,True
2980,7,2014-08-04T15:49:44.366542+00:00,568,POINT (-73.8184250000000048 40.7625030000000024),0,236994,previous-suggestion,Murray Hill,9/17/2011 0:00:00,Stations near residences is as important as stations near businesses.,,,,2014-08-04T15:49:44.369417+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236994,,,True
2979,0,2014-08-04T15:49:44.300999+00:00,568,POINT (-73.8256779999999964 40.7122370000000018),0,236993,previous-suggestion,Briarwood,,Court House,,,,2014-08-04T15:49:44.304076+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236993,,Murf,True
2978,3,2014-08-04T15:49:44.201856+00:00,568,POINT (-73.7852620000000030 40.7270189999999985),0,236992,previous-suggestion,Hillcrest,9/17/2011 0:00:00,Help me get to work!,,,,2014-08-04T15:49:44.208329+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236992,,Christa,True
2977,4,2014-08-04T15:49:44.195458+00:00,568,POINT (-73.9554959999999966 40.7076520000000031),0,236991,previous-suggestion,Williamsburg,9/17/2011 0:00:00,I live a block from here.,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236991/support,,2014-08-04T15:49:44.198258+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236991,,Emma,True
